Title,Author,Genre
Fundamentals of Wavelets,"Goswami, Jaideva"
Data Smart,"Foreman, John",data_science
God Created the Integers,"Hawking, Stephen",mathematics
Superfreakonomics,"Dubner, Stephen",economics
Orientalism,"Said, Edward",history
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science
Integration of the Indian States,"Menon, V P",history
"Drunkard's Walk, The","Mlodinow, Leonard",science
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology
Data Scientists at Work,Sebastian Gutierrez,data_science
Slaughterhouse Five,"Vonnegut, Kurt",fiction
Birth of a Theorem,"Villani, Cedric",mathematics
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science
"Age of Wrath, The","Eraly, Abraham",history
"Trial, The","Kafka, Frank",fiction
Statistical Decision Theory',"Pratt, John",data_science
Data Mining Handbook,"Nisbet, Robert",data_science
"New Machiavelli, The","Wells, H. G.",fiction
Physics & Philosophy,"Heisenberg, Werner",science
Making Software,"Oram, Andy",computer_science
"Analysis, Vol I","Tao, Terence",mathematics
Machine Learning for Hackers,"Conway, Drew",data_science
"Signal and the Noise, The","Silver, Nate",data_science
Python for Data Analysis,"McKinney, Wes",data_science
Introduction to Algorithms,"Cormen, Thomas",computer_science
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction
"Outsider, The","Camus, Albert",fiction
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction
"Wealth of Nations, The","Smith, Adam",economics
"Pillars of the Earth, The","Follett, Ken",fiction
Mein Kampf,"Hitler, Adolf",nonfiction
"Tao of Physics, The","Capra, Fritjof",science
Surely You're Joking Mr Feynman,"Feynman, Richard",science
"Farewell to Arms, A","Hemingway, Ernest",fiction
"Veteran, The","Forsyth, Frederick",fiction
False Impressions,"Archer, Jeffery",fiction
"Last Lecture, The","Pausch, Randy",nonfiction
Return of the Primitive,"Rand, Ayn",philosophy
Jurassic Park,"Crichton, Michael",fiction
"Russian Journal, A","Steinbeck, John",nonfiction
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction
Freakonomics,"Dubner, Stephen",economics
"Hidden Connections, The","Capra, Fritjof",science
"Story of Philosophy, The","Durant, Will",philosophy
Asami Asami,"Deshpande, P L",fiction
Journal of a Novel,"Steinbeck, John",fiction
Once There Was a War,"Steinbeck, John",nonfiction
"Moon is Down, The","Steinbeck, John",fiction
"Brethren, The","Grisham, John",fiction
In a Free State,"Naipaul, V. S.",fiction
Catch 22,"Heller, Joseph",fiction
"Complete Mastermind, The",BBC,nonfiction
Dylan on Dylan,"Dylan, Bob",nonfiction
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science
Textbook of Economic Theory,"Stonier, Alfred",economics
Econometric Analysis,"Greene, W. H.",economics
Learning OpenCV,"Bradsky, Gary",data_science
Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science
"Computer Vision, A Modern Approach","Forsyth, David",data_science
Principles of Communication Systems,"Taub, Schilling",computer_science
Let Us C,"Kanetkar, Yashwant",computer_science
"Amulet of Samarkand, The","Stroud, Jonathan",fiction
Crime and Punishment,"Dostoevsky, Fyodor",fiction
Angels & Demons,"Brown, Dan",fiction
"Argumentative Indian, The","Sen, Amartya",nonfiction
Sea of Poppies,"Ghosh, Amitav",fiction
"Idea of Justice, The","Sen, Amartya",nonfiction
"Raisin in the Sun, A","Hansberry, Lorraine",fiction
All the President's Men,"Woodward, Bob",history
"Prisoner of Birth, A","Archer, Jeffery",fiction
Scoop!,"Nayar, Kuldip",history
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction
"Last Mughal, The","Dalrymple, William",history
"Social Choice & Welfare, Vol 39 No. 1",Various,economics
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction
Gun Gayin Awadi,"Deshpande, P L",nonfiction
Aghal Paghal,"Deshpande, P L",nonfiction
Maqta-e-Ghalib,"Garg, Sanjay",fiction
Beyond Degrees,,nonfiction
Manasa,"Kale, V P",nonfiction
India from Midnight to Milennium,"Tharoor, Shashi",history
"World's Greatest Trials, The"
"Great Indian Novel, The","Tharoor, Shashi",fiction
O Jerusalem!,"Lapierre, Dominique",history
"City of Joy, The","Lapierre, Dominique",fiction
Freedom at Midnight,"Lapierre, Dominique",history
"Winter of Our Discontent, The","Steinbeck, John",fiction
On Education,"Russell, Bertrand",philosophy
Free Will,"Harris, Sam",philosophy
Bookless in Baghdad,"Tharoor, Shashi",nonfiction
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction
"Theory of Everything, The","Hawking, Stephen",science
New Markets & Other Essays,"Drucker, Peter",economics
Electric Universe,"Bodanis, David",science
"Hunchback of Notre Dame, The","Hugo, Victor",fiction
Burning Bright,"Steinbeck, John",fiction
"Age of Discontuinity, The","Drucker, Peter",economics
Doctor in the Nude,"Gordon, Richard",fiction
Down and Out in Paris & London,"Orwell, George",nonfiction
Identity & Violence,"Sen, Amartya",philosophy
Beyond the Three Seas,"Dalrymple, William",history
"World's Greatest Short Stories, The",,fiction
Talking Straight,"Iacoca, Lee",nonfiction
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction
"Phantom of Manhattan, The","Forsyth, Frederick",fiction
Ashenden of The British Agent,"Maugham, William S",fiction
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy
"Great War for Civilization, The","Fisk, Robert",history
We the Living,"Rand, Ayn",fiction
"Artist and the Mathematician, The","Aczel, Amir",science
History of Western Philosophy,"Russell, Bertrand",philosophy
Selected Short Stories,,fiction
Rationality & Freedom,"Sen, Amartya",economics
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history
Uncommon Wisdom,"Capra, Fritjof",nonfiction
One,"Bach, Richard",nonfiction
Karl Marx Biography,,nonfiction
To Sir With Love,Braithwaite,fiction
Half A Life,"Naipaul, V S",fiction
"Discovery of India, The","Nehru, Jawaharlal",history
Apulki,"Deshpande, P L",nonfiction
Unpopular Essays,"Russell, Bertrand",philosophy
"Deceiver, The","Forsyth, Frederick",fiction
Veil: Secret Wars of the CIA,"Woodward, Bob",history
Char Shabda,"Deshpande, P L",nonfiction
Rosy is My Relative,"Durrell, Gerald",fiction
"Moon and Sixpence, The","Maugham, William S",fiction
Political Philosophers,,philosophy
"Short History of the World, A","Wells, H G",history
"Trembling of a Leaf, The","Maugham, William S",fiction
Doctor on the Brain,"Gordon, Richard",fiction
Simpsons & Their Mathematical Secrets,"Singh, Simon",science
Pattern Classification,"Duda, Hart",data_science
From Beirut to Jerusalem,"Friedman, Thomas",history
"Code Book, The","Singh, Simon",science
"Age of the Warrior, The","Fisk, Robert",history
Final Crisis,,comic
"Killing Joke, The",,comic
Flashpoint,,comic
Batman Earth One,,comic
Crisis on Infinite Earths,,comic
"Numbers Behind Numb3rs, The","Devlin, Keith",science
Superman Earth One - 1,,comic
Superman Earth One - 2,,comic
Justice League: Throne of Atlantis,,comic
Justice League: The Villain's Journey,,comic
"Death of Superman, The",,comic
History of the DC Universe,,comic
Batman: The Long Halloween,,comic
"Life in Letters, A","Steinbeck, John",nonfiction
"Information, The","Gleick, James",science
"Journal of Economics, vol 106 No 3",,economics
Elements of Information Theory,"Thomas, Joy",data_science
Power Electronics - Rashid,"Rashid, Muhammad",computer_science
Power Electronics - Mohan,"Mohan, Ned",computer_science
Neural Networks,"Haykin, Simon",data_science
"Grapes of Wrath, The","Steinbeck, John",fiction
Vyakti ani Valli,"Deshpande, P L",nonfiction
Statistical Learning Theory,"Vapnik, Vladimir",data_science
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history
Empire of the Mughal - Brothers at War,"Rutherford, Alex",history
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",history
Mossad,"Baz-Zohar, Michael",history
Jim Corbett Omnibus,"Corbett, Jim",nonfiction
20000 Leagues Under the Sea,"Verne, Jules",fiction
Batatyachi Chal,Deshpande P L,fiction
Hafasavnuk,Deshpande P L,fiction
Urlasurla,Deshpande P L,fiction
Pointers in C,"Kanetkar, Yashwant",computer_science
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science
Design with OpAmps,"Franco, Sergio",computer_science
Think Complexity,"Downey, Allen",data_science
"Devil's Advocate, The","West, Morris",fiction
Ayn Rand Answers,"Rand, Ayn",philosophy
Philosophy: Who Needs It,"Rand, Ayn",philosophy
"World's Great Thinkers, The",,philosophy
Data Analysis with Open Source Tools,"Janert, Phillip",data_science
Broca's Brain,"Sagan, Carl",science
Men of Mathematics,"Bell, E T",mathematics
Oxford book of Modern Science Writing,"Dawkins, Richard",science
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",philosophy
"Arthashastra, The",Kautiyla,philosophy
We the People,Palkhivala,philosophy
We the Nation,Palkhivala,philosophy
"Courtroom Genius, The",Sorabjee,nonfiction
Dongri to Dubai,"Zaidi, Hussain",nonfiction
"History of England, Foundation","Ackroyd, Peter",history
City of Djinns,"Dalrymple, William",history
India's Legal System,Nariman,nonfiction
More Tears to Cry,"Sassoon, Jean",fiction
"Ropemaker, The","Dickinson, Peter",fiction
Angels & Demons,"Brown, Dan",fiction
"Judge, The",,fiction
"Attorney, The",,fiction
"Prince, The",Machiavelli,philosophy
Eyeless in Gaza,"Huxley, Aldous",fiction
Tales of Beedle the Bard,"Rowling, J K",fiction
Girl with the Dragon Tattoo,"Larsson, Steig",fiction
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction
Girl who played with Fire,"Larsson, Steig",fiction
Batman Handbook,,comic
Murphy's Law,,nonfiction
Structure and Randomness,"Tao, Terence",mathematics
Image Processing with MATLAB,"Eddins, Steve",signal_processing
Animal Farm,"Orwell, George",fiction
"Idiot, The","Dostoevsky, Fyodor",fiction
"Christmas Carol, A","Dickens, Charles",fiction
